assembly_accession	species	subsp	strain
GCF_014792125.1	Pseudomonas aeruginosa		R31
GCF_014854655.1	Pseudomonas aeruginosa		JT86
GCF_014930935.1	Pseudomonas aeruginosa		KC-Tt-1
GCF_015697465.1	Pseudomonas aeruginosa		G-I-1
GCF_015697605.1	Pseudomonas aeruginosa		C-I-1
GCF_015697665.1	Pseudomonas aeruginosa		A-I-1
GCF_015832055.1	Pseudomonas aeruginosa		P33
GCF_015832075.1	Pseudomonas aeruginosa		P23
GCF_016105505.1	Pseudomonas aeruginosa		TJ2019-022
GCF_016105665.1	Pseudomonas aeruginosa		TJ2019-017
GCF_016105885.1	Pseudomonas aeruginosa		TJ2014-049
GCF_016107485.1	Pseudomonas aeruginosa		MPAO1
GCF_016126955.1	Pseudomonas aeruginosa		FDAARGOS_1041
GCF_016134915.1	Pseudomonas aeruginosa		DL201330
GCF_016743035.1	Pseudomonas aeruginosa		A39-1
GCF_016743115.1	Pseudomonas aeruginosa		PA19-3047
GCF_016745115.1	Pseudomonas aeruginosa		YTSEY8
GCF_016745135.1	Pseudomonas aeruginosa		SE5352
GCF_016745155.1	Pseudomonas aeruginosa		SE5357
GCF_016745175.1	Pseudomonas aeruginosa		SE5429
GCF_016745195.1	Pseudomonas aeruginosa		1903031130
GCF_016811975.1	Pseudomonas aeruginosa		152962
GCF_016864415.1	Pseudomonas aeruginosa		PARM801
GCF_016919425.1	Pseudomonas aeruginosa		PDNC003
GCF_016925475.1	Pseudomonas aeruginosa		B17932
GCF_017378395.1	Pseudomonas aeruginosa		LYSZa5
GCF_017378475.1	Pseudomonas aeruginosa		LYSZa2
GCF_017900915.1	Pseudomonas aeruginosa		LICME WGH-6
GCF_018138045.1	Pseudomonas aeruginosa		NDTH9845
GCF_018138065.1	Pseudomonas aeruginosa		WTJH17
GCF_018141565.1	Pseudomonas aeruginosa		PAG7
GCF_018141625.1	Pseudomonas aeruginosa		PAS6
GCF_018141645.1	Pseudomonas aeruginosa		PAM68
GCF_018279245.1	Pseudomonas aeruginosa		ZBX-P23
GCF_018279265.1	Pseudomonas aeruginosa		ZBX-P13
GCF_018279285.1	Pseudomonas aeruginosa		ZBX-P12
GCF_018279305.1	Pseudomonas aeruginosa		ZBX-P11
GCF_018409365.1	Pseudomonas aeruginosa		Pa12
GCF_018448985.1	Pseudomonas aeruginosa		PA790
GCF_900070375.1	Pseudomonas aeruginosa		PAO1_Orsay
GCF_900095805.1	Pseudomonas aeruginosa		PA14Or_reads
GCF_900149285.1	Pseudomonas aeruginosa		PcyII-10
GCF_900243355.1	Pseudomonas aeruginosa		RW109
