assembly_accession	species	subsp	strain
GCF_900639465.1	Enterococcus faecium		E7429
GCF_900639485.1	Enterococcus faecium		E7240
GCF_900639495.1	Enterococcus faecium		E7471
GCF_900639505.1	Enterococcus faecium		E7356
GCF_900639515.1	Enterococcus faecium		E7654
GCF_900639525.1	Enterococcus faecium		E7663
GCF_900639555.1	Enterococcus faecium		E8172
GCF_900639565.1	Enterococcus faecium		E8195
GCF_900639585.1	Enterococcus faecium		E7948
GCF_900639605.1	Enterococcus faecium		E8290
GCF_900639635.1	Enterococcus faecium		E8927
GCF_900639655.1	Enterococcus faecium		E8691
GCF_900639705.1	Enterococcus faecium		E9101
GCF_900639715.1	Enterococcus faecium		E8414
GCF_900639725.1	Enterococcus faecium		E8423
GCF_900639745.1	Enterococcus faecium		E4456
GCF_900640265.1	Enterococcus faecium		E4239
GCF_900682725.1	Enterococcus faecium		E8407
GCF_900683475.1	Enterococcus faecium		3012STDY6244127
GCF_907165365.1	Enterococcus faecium		USZ_VRE32_P32
GCF_907176135.1	Enterococcus faecium		USZ_VRE5_P5
GCF_907176815.1	Enterococcus faecium		USZ_VRE67_P60
GCF_907177285.1	Enterococcus faecium		USZ_VRE53_P46
GCF_000174395.2	Enterococcus faecium		DO
